config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash22R01_00	219.6157	79.5057	0.231596	0.275070	0.5604	0.1961	3.19000	1.08291e-06	100000.000	3.08171
foilsflash22R04_00	197.8367	100.1835	0.143886	0.244923	0.9500	0.3177	3.59000	9.21125e-07	100000.000	3.49789
foilsflash22R03_00	150.8443	64.7372	0.148590	0.221472	0.6401	0.4377	3.48000	8.86442e-07	100000.000	3.39136
foilsflash22R05_00	50.0000	93.1857	0.271830	0.178488	0.7643	0.4232	3.59000	8.01915e-07	100000.000	3.50981
foilsflash22R06_00	250.0000	106.5033	0.216384	0.283981	0.7065	0.0000	3.34000	1.24660e-06	100000.000	3.21534
foilsflash22R07_00	166.5284	142.3406	0.063946	0.098563	0.0000	0.0000	3.76000	1.01545e-06	100000.000	3.65846
foilsflash22R08_00	250.0000	109.4561	0.189238	0.399867	0.9500	0.2583	3.38000	1.03517e-06	100000.000	3.27648
foilsflash22R10_00	50.0000	51.1646	0.226147	0.177681	0.3310	0.3440	3.35000	9.40812e-07	100000.000	3.25592
foilsflash22R09_00	133.0876	76.8467	0.089337	0.508616	0.0000	0.9500	3.52000	7.93889e-07	100000.000	3.44061
foilsflashBASIN01_00	112.4760	109.9162	0.063100	0.144736	0.1778	0.0000	3.91000	1.08032e-06	100000.000	3.80197
foilsflashBASIN01_06	118.8117	105.4255	0.111570	0.130939	0.1941	0.0292	3.81000	1.07896e-06	100000.000	3.70210
foilsflashBASIN01_02	131.0509	97.7921	0.045221	0.162398	0.2421	0.0222	3.86000	1.04232e-06	100000.000	3.75577
foilsflashBASIN01_03	113.1113	113.8008	0.089614	0.135572	0.2052	0.0012	3.88000	1.05271e-06	100000.000	3.77473
foilsflashBASIN01_01	109.3963	126.6466	0.100641	0.104811	0.1477	0.0504	3.84000	9.71119e-07	100000.000	3.74289
foilsflashBASIN01_08	103.8466	90.1518	0.078661	0.117052	0.1716	0.0409	3.85000	1.03626e-06	100000.000	3.74637
foilsflashBASIN01_04	90.8165	111.6706	0.043764	0.176637	0.1046	0.0330	3.87000	1.14193e-06	100000.000	3.75581
foilsflashBASIN01_05	96.3662	120.2229	0.059275	0.180447	0.1360	0.0576	3.85000	1.07197e-06	100000.000	3.74280
foilsflashBASIN01_11	123.1076	126.3064	0.066438	0.114184	0.1120	0.0160	3.90000	9.98645e-07	100000.000	3.80014
