config	r0	r1	r2	t0	t1	t2	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt6d16R01_02	3.3060	3.5056	2.9826	7.9939	8.0000	3.3383	2.291862e-03	4.651530e+02	1.676510e-09	32	2.291862e-03
pt6d16R01_03	2.2106	2.9715	2.9709	6.6210	7.1524	8.0000	2.252690e-03	4.338940e+02	1.822283e-09	32	2.252690e-03
pt6d16R01_07	3.8181	3.6408	3.1368	4.7269	7.1939	7.2352	2.280000e-03	4.612224e+02	1.626438e-09	33	2.280000e-03
pt6d16R01_04	2.5031	3.6770	2.1272	5.4231	8.0000	7.5804	2.333608e-03	4.648394e+02	2.968938e-09	34	2.333608e-03
pt6d16R01_05	4.0223	2.8255	4.3657	7.5060	6.7050	8.0000	2.315447e-03	4.532632e+02	1.488044e-09	22	2.315447e-03
pt6d16R01_08	2.6771	4.1046	4.4216	8.0000	6.8082	7.5139	2.190191e-03	4.913696e+02	9.290188e-10	31	2.190191e-03
pt6d16R01_06	3.9184	3.0166	2.7129	7.7154	8.0000	6.9032	2.331667e-03	4.592141e+02	2.160994e-09	31	2.331667e-03
pt6d16R01_09	2.8105	4.0243	2.6307	7.6720	8.0000	3.0000	2.308414e-03	4.761061e+02	1.905821e-09	33	2.308414e-03
pt6d16R02_02	2.7375	4.2200	2.5184	8.0000	7.4268	5.6261	2.347994e-03	4.834855e+02	2.180828e-09	34	2.347994e-03
pt6d16R02_05	3.5996	2.2630	3.1734	4.4280	6.9428	6.1975	2.172778e-03	3.894835e+02	2.380186e-09	24	2.172778e-03
pt6d16R02_01	4.2472	3.2030	4.0528	5.9808	6.9449	4.4154	2.219337e-03	4.391742e+02	1.433361e-09	23	2.219337e-03
pt6d16R02_06	3.7732	2.6497	2.2270	8.0000	7.9949	4.8516	2.166162e-03	4.291420e+02	2.938591e-09	31	2.166162e-03
pt6d16R02_09	2.7028	4.1828	2.1226	6.2298	7.4794	7.9339	2.297790e-03	4.810309e+02	2.987087e-09	34	2.297790e-03
pt6d16R02_04	4.3433	3.6237	2.7591	7.9113	8.0000	3.2905	2.200000e-03	4.783032e+02	1.889914e-09	32	2.200000e-03
pt6d16R02_03	3.9577	2.5149	2.7923	4.7764	7.1417	4.8853	2.240110e-03	3.985302e+02	2.455246e-09	27	2.240110e-03
pt6d16R02_07	4.3835	4.4535	2.9966	6.8295	7.9020	7.2513	2.364494e-03	5.208554e+02	1.668255e-09	33	2.364494e-03
pt6d16R02_08	2.8137	3.9382	2.3052	7.2161	8.0000	4.5346	2.322310e-03	4.751383e+02	2.481724e-09	34	2.322310e-03
pt6d16R03_01	3.1974	3.7651	2.0573	5.6987	7.6617	4.0282	2.188171e-03	4.521774e+02	2.968047e-09	34	2.188171e-03
pt6d16R03_03	3.4983	3.3443	2.4772	8.0000	8.0000	3.2297	2.359613e-03	4.571001e+02	2.243600e-09	33	2.359613e-03
pt6d16R03_06	2.6895	3.1198	3.1066	7.0403	8.0000	5.0015	2.248753e-03	4.468325e+02	1.679021e-09	31	2.248753e-03
