config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsf06R02_06	226.4314	220.1591	0.135521	0.262477	0.0950	0.0977	2.74000	8.80658e-06	100000.000	1.85934
foilsf06R02_03	97.5517	122.2799	0.055494	0.130229	0.2204	0.1758	3.87000	2.13201e-05	100000.000	1.73799
foilsf06R02_05	247.4073	228.2569	0.267880	0.611091	0.0869	0.0942	1.82000	3.52465e-06	100000.000	1.46754
foilsf06R02_04	218.6073	170.0931	0.110773	0.583064	0.0983	0.1264	2.60000	9.98127e-06	100000.000	1.60187
foilsf06R02_08	134.2631	115.9349	0.086962	0.166571	0.1601	0.1854	3.81000	1.88193e-05	100000.000	1.92807
foilsf06R02_09	191.2356	180.0416	0.097447	0.175350	0.1124	0.1194	3.32000	1.26138e-05	100000.000	2.05862
foilsf06R02_07	250.0000	250.0000	0.512709	0.640560	0.0860	0.0860	1.26000	1.84056e-06	100000.000	1.07594
foilsf06R03_00	179.5303	158.6547	0.097278	0.164915	0.1198	0.1355	3.47000	1.43410e-05	100000.000	2.03590
foilsf06R03_01	250.0000	250.0000	0.468342	0.621228	0.0860	0.0860	1.34000	1.81500e-06	100000.000	1.15850
foilsf06R03_03	195.4589	176.4515	0.113568	0.182548	0.1100	0.1218	3.25000	1.32982e-05	100000.000	1.92018
foilsf06R03_06	228.0962	227.3118	0.201095	0.362607	0.0943	0.0946	2.35000	6.12242e-06	100000.000	1.73776
foilsf06R03_02	243.3379	227.6381	0.247716	0.420954	0.0884	0.0944	2.11000	4.80591e-06	100000.000	1.62941
foilsf06R03_04	250.0000	250.0000	0.543996	0.667269	0.0860	0.0860	1.19000	1.73883e-06	100000.000	1.01612
foilsf06R03_09	220.1863	204.7511	0.178286	0.322791	0.0976	0.1050	2.60000	7.13218e-06	100000.000	1.88678
foilsf06R03_05	206.8787	180.3864	0.157334	0.273188	0.1039	0.1192	2.89000	9.47122e-06	100000.000	1.94288
foilsf06R03_08	125.9057	91.6258	0.054705	0.147415	0.1708	0.2347	3.83000	2.02334e-05	100000.000	1.80666
foilsf06R03_07	207.4929	184.5387	0.168001	0.293946	0.1036	0.1165	2.80000	9.10056e-06	100000.000	1.88994
foilsf06R04_01	136.3490	173.4031	0.094022	0.157242	0.1577	0.1240	3.54000	1.48861e-05	100000.000	2.05139
